rank,username,messages,stickers,photos,videos,gifs,video memos
🥇,𝓒𝓪𝓵𝓲𝓹𝓹𝓸 (Apollo) 🇳🇱,7777,37,674,332,71,7
🥈,Xayo,7097,77,712,51,76,2
🥉,Verbrand,6075,73,349,15,304,0
4,Xavier,4950,196,408,172,43,17
5,Auhy 🇳🇱,4514,53,354,81,34,8
6,Loeckske,4243,40,392,28,35,0
7,🐻 Nino 💛,4058,73,373,58,17,0
8,Caramel 🍬,4057,155,567,157,162,23
9,Gabriel | Kat 🇧🇷🇧🇪,3770,93,457,210,18,0
10,StefBear ʕ •ᴥ•ʔ,3403,361,494,64,224,1
11,Leo Manchas,3124,59,430,150,3,1
12,Finny 🔜 Furgroove,2929,8,127,23,3,0
13,Neo,2898,99,190,36,20,0
14,✨ Benjamin 🇳🇱,2585,45,231,18,33,4
15,🌷🌸Sara🌸🌷,2500,52,109,55,4,0
16,Lightning⚡️,2169,18,80,10,6,1
17,𝘽𝙍𝙐𝘾𝙀,2051,167,110,12,89,0
18,"𝚁𝚎𝚐𝚛𝚊𝚛, Jax, Qianxin, Noodle 🇳🇱🦎👑蜥蜴",2009,32,53,5,3,0
19,Buckie | 🔜 RFR 2025,1704,97,284,65,21,1
20,Yolododo4life,1479,73,154,65,8,8
21,Akiran,1015,53,34,14,0,0
22,Raikou 🍂🐆🍄,1003,61,192,30,17,0
23,Eraija the shep,976,48,123,79,4,0
24,~𝓩𝓪𝓭𝓻𝓪~🦁🇳🇱,806,48,33,27,5,1
25,Sabre /Akiro,719,12,33,3,5,0
26,Melvin Dookbutt,711,8,23,7,2,8
27,Ace,662,18,14,3,0,0
28,Rayzar Wolf🏳️‍🌈🇳🇱,592,78,67,6,13,2
29,Marcus barkus,590,27,30,2,24,0
30,Mira floofert doggo 🔜,570,6,7,9,0,0
31,ChipHusky/Browser,557,25,76,20,4,0
32,Protocol0,545,7,73,28,13,0
33,Saturn,499,18,15,1,0,3
34,EnCinA --> NFC,477,22,16,1,10,0
35,marmalade🔆 🇩🇪🇺🇦,324,39,39,10,5,0
36,🧜‍♂️Merzaro🧜‍♂️,322,3,48,5,6,0
37,Reinflak OPEN DM 🔜NFC. <3,232,12,39,33,1,0
38,𝐋𝐮𝐜𝐢𝐞𝐧 🇳🇱🇪🇺 🔜 NFC,194,17,8,2,2,0
39,Quarzar 🇳🇱🎸🧦🐾🔜 NFC,138,2,13,1,0,0
40,Missy 🐭💙 > ✏️MDC✂️ <,122,6,0,0,0,0
41,Denni,89,1,9,1,0,0
42,Luka,84,5,7,0,0,0
43,Cobalt,82,3,9,6,1,0
44,🍒Sundae Cherry🍒 🔜 NFC ❄️,78,13,6,0,1,0
45,Pup Davey,77,6,6,7,0,0
46,Juniper,51,2,2,0,1,3
47,"Ahkando 🔜NFC, FWA",49,4,11,4,0,0
48,Fons!🐰🎸,48,5,6,2,1,0
49,おたけ よしろ 👑 aka Blips(u),45,1,2,1,0,0
50,Cree 🔜 NFC,43,3,9,0,1,1
51,Lucas,22,1,3,1,0,0
52,Silvermoon🌙,22,5,0,0,1,0
53,Chivano ja,1,0,0,0,0,0
