rank,username,messages,stickers,photos,videos,gifs,video memos
🥇,𝓒𝓪𝓵𝓲𝓹𝓹𝓸 (Apollo) 🇳🇱,8136,39,710,352,72,11
🥈,Xayo,7356,78,737,53,78,2
🥉,Verbrand,6362,75,376,16,317,0
4,Xavier,5285,214,432,180,51,21
5,Auhy 🇳🇱,4668,53,364,81,37,8
6,Loeckske,4406,42,408,29,40,0
7,🐻 Nino 💛,4313,74,410,65,22,0
8,Caramel 🍬,4212,160,594,158,186,24
9,Gabriel | Kat 🇧🇷🇧🇪,4114,99,509,218,26,0
10,StefBear ʕ •ᴥ•ʔ,3672,380,538,73,269,1
11,Leo Manchas,3283,64,460,160,3,1
12,Finny 🔜 Furgroove,3115,8,138,24,4,0
13,Neo,3085,104,198,37,26,0
14,✨ Benjamin 🇳🇱,2741,47,260,19,35,5
15,🌷🌸Sara🌸🌷,2547,52,119,56,6,0
16,Lightning⚡️,2311,19,88,10,6,1
17,𝘽𝙍𝙐𝘾𝙀,2137,174,130,13,92,2
18,"𝚁𝚎𝚐𝚛𝚊𝚛, Jax, Qianxin, Noodle 🇳🇱🦎👑蜥蜴",2121,32,62,7,3,0
19,Buckie | 🔜 NFC,1729,98,295,65,22,1
20,Yolododo4life,1561,76,168,72,8,9
21,Raikou 🍂🐆🍄,1057,63,206,31,17,0
22,Akiran NFC LIQUICITY,1015,53,34,14,0,0
23,Eraija the shep,1006,48,136,82,4,0
24,~𝓩𝓪𝓭𝓻𝓪~🦁🇳🇱,838,49,37,27,6,1
25,Sabre /Akiro,787,13,39,4,6,0
26,Melvin Dookbutt,711,8,23,7,2,8
27,Ace,671,18,14,3,0,0
28,EnCinA --> NFC,648,27,20,1,16,1
29,Mira floofert doggo 🔜,617,6,11,11,0,0
30,Rayzar Wolf🏳️‍🌈🇳🇱,603,80,68,6,13,2
31,Marcus barkus,590,27,30,2,24,0
32,ChipHusky/Browser,581,25,85,21,4,0
33,Protocol0,553,7,74,28,13,0
34,Saturn,538,19,17,1,0,3
35,🧜‍♂️Merzaro🧜‍♂️,326,4,48,5,6,0
36,marmalade🔆 🇩🇪🇺🇦,324,39,39,10,5,0
37,Reinflak OPEN DM 🔜NFC. <3,236,12,40,33,1,0
38,𝐋𝐮𝐜𝐢𝐞𝐧 🇳🇱🇪🇺 🔜 NFC,209,18,8,2,2,0
39,Quarzar 🇳🇱🎸🧦🐾🔜 NFC,140,2,13,1,0,0
40,Missy 🐭💙 > ✏️MDC✂️ <,122,6,0,0,0,0
41,Cobalt,109,4,11,6,2,0
42,Luka,97,5,9,0,0,0
43,Denni,89,1,9,1,0,0
44,🍒Sundae Cherry🍒 🔜 NFC ❄️,78,13,6,0,1,0
45,Pup Davey 💙💙💙,77,6,6,7,0,0
46,Juniper,55,2,3,0,1,3
47,"Ahkando 🔜NFC, FWA",50,4,11,4,0,0
48,Fons!🐰🎸,48,5,6,2,1,0
49,Cree 🔜 NFC,45,3,9,0,1,1
50,おたけ よしろ 👑 aka Blips(u),45,1,2,1,0,0
51,Lucas,22,1,3,1,0,0
52,Silvermoon🌙,22,5,0,0,1,0
53,Chivano ja,1,0,0,0,0,0
